"Program","xPONENT","","MAGPIX"
"Build","4.2.1705.0"
"Date","12/20/2021","10:50 AM"

"SN","MAGPX16145704"
"Batch","IgG_CovidOise0_amiens_plate2_20211220"
"Version","1"
"Operator","mph"
"ComputerName","MAGPIX-PC"
"Country Code","409"
"ProtocolName","Covid_28plex"
"ProtocolVersion","3"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleWash","Off"
"SampleVolume","65 uL"
"BatchStartTime","12/20/2021 11:44:15 AM"
"BatchStopTime","12/20/2021 12:15:53 PM"
"BatchDescription","<None>"
"ProtocolPlate","Name","Current 96-well plate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","28"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 12/20/2021 10:56:41"
"Last VER Verification","Passed 12/20/2021 10:57:43"
"Last Fluidics Test","Passed 12/20/2021 10:59:02"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B81409","05/21/2022","12/20/2021 10:56:41 AM","26.3","26.3","26.3","26.3","167","207","313","313","0.00709","0.00709","0.00395","0.11616","Pass","MAGPX16145704"


"Samples","49","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","Spike_6P_IPP","ME_NA","HKU1_S_IPP","OC43_NP_NA","OC43_S_sino","HKU1_NP_NA","229E_NP_NA","Mumps_NP","RBD_B16171_IPP","NL63_NP_NA","RBD_B16172_IPP","RBD_wuhan_IPP","NL63_S_NA","229E_S_NA","Spike_B16172_IPP","Spike_B117_IPP","Measles_NP_NA","Ade5_NA","NP_IPP","Spike_P1_IPP","Rub_NA","Ade40_NA","RBD_B117_IPP","Spike_B1351_IPP","FluA_NA","RBD_B1351_IPP","RBD_P15_IPP","S2_NA","Total Events"
"18(1,B6)","Unknown42","205.28","259.5","4337.28","1645.29","7467.95","510.33","328.89","685.47","128.06","791.59","176.81","222.08","1545","2834.38","71.26","104.9","1343.2","18375.7","121.07","114.54","2739.44","8574.27","249.61","181.45","1490.53","198","189.74","184.05","1818"
"25(1,C1)","Unknown3","4477.33","960.54","2630.26","1846.44","5042.17","799.81","1180.18","705.59","1646.24","961.89","1499.67","2536.31","805.32","5545.01","3679.39","4004.11","870.56","11241.45","6281.78","3706.73","1995.67","3731.86","676.81","4589.19","2858.46","443.11","1126","678.5","1779"
"26(1,C2)","Unknown11","114.24","210.6","750.75","353.13","1112.06","383.7","847.91","300.06","104.48","1844.03","106","134.69","994.79","659.92","43.43","62.24","95.69","6606.94","245.93","64.56","727.49","1701.25","119.33","106.48","907.35","181.62","109.23","99.41","1841"
"27(1,C3)","Unknown19","142.86","369.77","1402.36","704.26","2516.38","709.19","1059.64","76.47","79.71","2194.78","73.91","113.76","313.81","361.67","45.56","107.76","60.68","6052.53","142.82","109.16","251.45","1090.48","91.57","138","2504.29","95.02","92.75","207.31","1837"
"28(1,C4)","Unknown27","2190.44","330.58","1021.49","425.04","6142.52","269.68","488.91","125.21","512.03","898.22","2026.31","1787","299.98","1595.37","5132.96","2439.5","454.27","11115.63","1521.06","1483.18","3842.78","1993.84","253.48","1418.83","2027.72","202.65","199.13","1607.93","1830"
"29(1,C5)","Unknown35","154.95","174.14","1136.13","806.84","2449.32","363.58","601.88","134.84","114.97","1416.89","136.33","148.06","632.28","2535.55","48.72","107.57","273.02","3822.77","91.68","129.45","1871.26","443.3","132.54","151.74","2256.14","132.97","143.41","147.54","1711"
"30(1,C6)","Unknown43","229.82","372.83","3198.83","3360.11","5607.66","1774.11","455.79","153.65","153.35","1118.41","215.29","217.51","1456.5","3876.03","54.97","81.56","378.09","16003.05","666.26","86","987.63","2537.64","237.35","226.34","6643.26","247.22","206.52","176.52","1819"
"37(1,D1)","Unknown4","290.18","476.43","6128.76","3426.96","5721.21","3190.59","1297.62","400.96","162.79","2445.98","236.19","271.86","1486.44","1287.75","68.16","131.07","393.17","16519.2","1036.62","74.39","2413.8","4885.38","240.89","148.13","2060.02","258.91","238.23","226.6","1689"
"38(1,D2)","Unknown12","1904.91","1182.35","3049.87","1712.07","6353.49","746.93","811.31","581.8","618.73","1633.79","624.19","1007.14","920.05","1976.1","860.35","1394.63","609.49","4438.78","11729.19","1467.47","2888.1","1510.18","437.85","1662.07","2512.52","410.82","482.33","619.75","1924"
"39(1,D3)","Unknown20","190.66","318.86","2395.03","921.95","2133.08","2363.81","763.8","350.3","264.04","1368.25","243.91","308.83","1030.95","1797.85","127.09","202.27","303.52","6173.03","224.24","190.71","752.54","2487.35","335.09","342","4157.43","570.92","231.75","298.91","1684"
"40(1,D4)","Unknown28","981.02","414.15","1093.91","3529.55","6386.86","527.22","403.28","211.97","311.12","522.75","228.62","233.87","1073.24","2650.34","169.06","961.14","200.7","15937.61","174.75","1234.35","1183.69","5023.64","203.61","1422.46","1591.32","235.79","208.58","230.27","1782"
"41(1,D5)","Unknown36","1678.77","387.03","6214.49","856.2","6501.87","2551.74","215.33","436.02","560.52","533.35","478.9","1104.35","1063.55","2582.08","1516.79","1530.3","217.94","5052.79","904.93","1351.31","1131.89","3024.94","285.67","2731.48","1242.33","206.7","292.14","441.98","1835"
"49(1,E1)","Unknown5","149.07","190.91","1310.83","850.31","1076.87","650.09","680.29","95.29","79.17","765.64","104.88","123.24","1130.4","1815.33","42.58","58.82","95.86","12306.58","95.76","63.77","893.15","1902.47","112.67","95.09","208.84","126.98","114.83","162.82","1547"
"50(1,E2)","Unknown13","121.14","189.23","602.18","731.86","2038.95","300.07","376.02","1930.16","127.61","487.96","147.6","186.96","144.77","1543.93","36.38","55.04","3098.23","7287.24","170.36","52.51","2670.21","2847.6","119.24","91.53","3988.2","176.87","162.64","128.96","1637"
"51(1,E3)","Unknown21","97.72","210.78","880.63","970.19","3054.97","521.04","1161.6","156.45","86","2352.51","105.96","108.93","281.53","925.98","37.81","45.43","300.7","8640.19","79.18","43.33","2664.48","3450.72","102.44","75.85","581.41","123.87","105.2","137.37","1560"
"52(1,E4)","Unknown29","102.68","196.62","869.97","883.74","2624.71","302.6","930.94","160.24","112.75","845.37","134.41","143.43","476","1313.77","39.14","60.67","390","14715.3","120.76","61.94","1205.13","2300.77","144.31","105.18","3302.35","185.81","133.81","122","1429"
"53(1,E5)","Unknown37","207.59","284.81","5006.84","1119.88","6578.14","1034.07","993.11","123.58","118.86","2071.34","134.96","157.42","576.7","1234.26","51.44","130.58","142.68","15043.8","146.89","187.65","758.41","5724.02","155.06","284.78","1462.02","162.11","165.5","159.27","1756"
"61(1,F1)","Unknown6","160.38","229.2","420.69","1292.07","1433.98","722.85","977.07","1054.31","84.77","2206.36","114.26","136.53","538.03","1468.33","48.84","50.18","469.85","10734.69","274.22","51.19","1183.16","1392.29","102.73","112.02","760.3","111.54","112.92","100.23","1604"
"62(1,F2)","Unknown14","6090.82","1049.82","9765.84","5116.18","8672.6","1615.84","337.74","390.33","1822.12","521.12","1165.07","1900.28","981.68","1884.35","2360.97","5854.93","900.08","10653.39","2811.77","7075.08","3179.25","2152.41","667.03","6619.07","3300.44","507.71","968.25","971.11","1913"
"63(1,F3)","Unknown22","14800.98","1732.36","855.71","538.73","2801.09","699.79","1102.34","886.1","7827.95","1744.93","6368.38","9244.53","205.27","434.07","13141.99","14816.85","560.48","7322.56","13474.16","16009.81","619.03","1700.78","2749.15","14009.58","202.38","1189.14","5251.71","1500.96","1457"
"64(1,F4)","SP","6911.61","231.63","2161.67","657.23","3855.15","506.11","1010.61","127.15","2135.83","1488.36","1131.85","1908.29","343.32","1468.94","3095.09","7520.61","205.3","8569.96","413.48","8380.1","528.04","3104.92","488.08","8023.16","1199.78","240.31","904.47","774.27","1730"
"65(1,F5)","Unknown38","10998.98","1242.41","4742.66","433.54","13331.6","719.94","1339.56","478.7","3931.47","2512.89","2436.98","4487.88","1437.11","1919.02","7172.88","12435.91","851.31","2829.71","13065","14298.39","769.89","1702.14","898.66","11687.39","3198.1","710.02","1222.43","3417.5","1622"
"73(1,G1)","Unknown7","136.58","445.81","1365.03","1482.68","1475.73","3570.41","912.63","117.89","131.17","1536.79","156.04","169.87","460.05","2555.83","58.72","65.19","828.93","7926.22","105.75","70.03","2036.55","1616.84","171.71","130.31","2089.2","203.92","152.72","166.98","1678"
"74(1,G2)","Unknown15","360.85","534.07","2134.29","3853.96","3973.86","3431.87","2003.1","705.43","194.08","1357.17","257.84","289.31","1026.33","5055.05","54.67","74.04","641.29","16949.61","141.65","96.34","2335.38","6613.26","255.13","180.83","2850.34","297.75","268.56","210.62","1674"
"75(1,G3)","Unknown23","6112.71","860.52","7884.78","1890.17","10018.33","5421.59","367.11","2521.17","1757.16","482.21","1526.3","2859.25","1400.05","1657.92","4120.52","5244.52","570.65","16748.24","7130.42","4997.89","1901.86","5452.24","736.07","4914.25","3619.09","490.7","818.07","1902.48","1582"
"76(1,G4)","FD","15305.98","401.23","778.85","471.75","1920.91","447.43","892.51","142.4","7527.77","1728.72","5560.91","8140.53","274.6","1763.19","12857.98","17043.78","618.19","13207.35","324.47","17171.13","1773.31","3535.58","2769.42","15366.71","3024.91","1097.35","4825.22","3469.59","1648"
"77(1,G5)","Unknown39","90.49","134.54","986.87","414.97","2411.37","582.75","883.16","435.48","86.08","1870.35","123.24","158.17","651.67","2978.29","38.86","49.75","191.6","4379.51","644.4","51.69","1798.47","3251.87","109.44","77.63","4004.23","132.75","114.67","89.23","1746"
"85(1,H1)","Unknown8","187.28","225.7","1102.39","1765.79","3790.53","367.48","239","91.53","120.05","438.21","149.4","296.26","1233.62","6099.29","35.47","64.42","385.67","2752.1","183.19","75.84","2214.73","975.68","158.08","147.98","3769.84","159.44","142.58","111.31","1569"
"86(1,H2)","Unknown16","151.66","358.87","1332.3","1335.5","3303.78","477.55","1094.39","88","103.85","1906.14","138.79","154.93","1140.69","2005.89","37.2","50.43","268.88","8718.71","96.38","44.47","1475.15","8231","134.06","72.5","1753.63","151.68","136.7","130.47","1789"
"87(1,H3)","Unknown24","5160.23","1018.74","1930.46","1600.49","5926.6","707.79","709.53","2695.82","2774.47","1709.38","1892.05","3906.93","1288.21","1515.91","2757.08","4944.47","392.05","15596.52","8803.55","4716.26","1354.39","2696.51","681.68","5095.78","554.12","479.43","2122.86","912.78","1616"
"88(1,H4)","LG","20120.86","407","2224.36","540.86","5630.55","382.18","479.77","230.67","13064.61","706.77","11060.3","13905.39","785.21","2162.96","18942.71","21200.64","259.45","10551.97","161.84","20982.24","1256.21","1486.89","5230.53","18587.72","1946.95","2361.87","9075.16","2455.04","1706"
"89(1,H5)","Unknown40","1753.86","487.97","4270.8","2807.11","5117.44","1589.18","669.17","157.79","579.91","686.52","235.15","271.13","1821.67","8036.2","383.98","1817.19","660.36","19370.48","132.71","2300.7","1299.57","4665.06","284.03","2443.8","3334.73","304.55","264.98","355.34","1714"

"DataType:","Trimmed % CV of Microspheres"
"Location","Sample","Spike_6P_IPP","ME_NA","HKU1_S_IPP","OC43_NP_NA","OC43_S_sino","HKU1_NP_NA","229E_NP_NA","Mumps_NP","RBD_B16171_IPP","NL63_NP_NA","RBD_B16172_IPP","RBD_wuhan_IPP","NL63_S_NA","229E_S_NA","Spike_B16172_IPP","Spike_B117_IPP","Measles_NP_NA","Ade5_NA","NP_IPP","Spike_P1_IPP","Rub_NA","Ade40_NA","RBD_B117_IPP","Spike_B1351_IPP","FluA_NA","RBD_B1351_IPP","RBD_P15_IPP","S2_NA","Total Events"
"1(1,A1)","B","33.08","20.41","25.46","31.41","19.46","23.75","23.68","22.78","21.52","16.85","20.25","18.58","23.5","24.05","25.65","20.6","19.06","22.83","32.5","18.79","21.42","21.82","20.67","24.1","45.33","20.66","18.68","36.49","1817"
"2(1,A2)","S","12.95","16.83","8.14","9.29","7.55","16.62","9.15","23.3","13.84","13.09","11.39","9.04","8.4","9.01","8.29","9.65","17.2","10.44","8.52","7.23","35.14","7.47","12.41","7.52","8.28","17.85","13.48","18.39","1772"
"3(1,A3)","S","18.8","21.59","12.06","18.74","9.33","14.45","13.23","24.99","19.19","9.7","16.53","12.01","9.87","12.13","8.93","11.38","22.08","14.43","9.13","10","35.99","15.01","15.53","10.06","13.76","19.35","14.29","15.09","1797"
"4(1,A4)","S","15.8","18.16","5.97","12","7.43","12.26","13.87","26.43","12.38","9.74","12.81","12.03","8.09","8.09","9.5","6.27","21.73","14.45","11.38","6.93","35.17","7.07","16.34","6.61","8.65","15.45","11.1","12.49","1800"
"5(1,A5)","S","21.77","19.65","11.79","14.04","15.58","14.62","17.34","30.7","16.8","10.93","17.7","11.08","15.66","11.44","12.26","16.88","19.84","15.14","13.17","14.52","35.16","10.4","15.47","17.05","9.81","19.53","15.52","15.69","1766"
"6(1,A6)","S","18.8","16.24","7.77","11.1","10.67","14.01","14.04","28.94","19.24","9.54","16.11","14.13","12.49","10.3","13.21","9.91","24.57","19.68","14.32","10.88","37.44","7.75","13.69","9.33","7.9","18.31","13.93","17.97","1794"
"7(1,A7)","S","18.69","18.49","10.11","19.09","10.15","17.99","12.98","19.72","17.99","11.22","19.63","18.94","10.86","10.56","16.69","16.78","16.97","16.45","15.37","14.53","36.24","11.39","14.27","14.54","10.69","17.67","17.3","15.45","1957"
"8(1,A8)","S","19.87","16.1","11.22","15.17","7.94","15.54","13.54","22.18","20.19","13.11","21.63","17.6","12.94","15.17","19.56","18.14","18.61","15.97","14.64","15.81","30.73","10.37","19.03","13.3","12.18","21.03","17.08","15.49","1848"
"9(1,A9)","S","21.31","18.77","13.01","17.32","10.26","14.7","15.2","19.33","16.82","13.45","19.19","16.98","15.47","13.26","18.37","18.9","21.97","15.41","15.33","14.14","24.32","11.99","17.71","18.33","15.43","18.57","17.32","17.37","1766"
"10(1,A10)","S","17.64","16.01","11.38","18.91","10.93","18.38","14.87","17.37","22.68","11.83","20.69","16.7","19.19","15.1","14.81","15.85","15.05","18.08","13.58","12.99","18.3","13.74","16.75","17.65","23.07","16.86","15.88","22.99","1717"
"11(1,A11)","S","18.98","13.67","17.6","20.76","10.37","15.67","14.99","18.65","18.34","13.53","18.01","13.21","15.78","15.72","17.52","16.61","13.25","13.56","13.07","13.26","25.69","14.49","18.7","16.19","23.76","16.11","15.49","22.72","1821"
"12(1,A12)","S","15.84","17.87","23.42","25.1","13.29","21.24","20.55","21.6","16.74","18.06","21.11","17.12","25.33","22.29","17.72","17.2","15.44","13.42","17.57","12.6","20.21","20.53","17.04","19.53","30.72","17.96","19.59","34.04","1805"
"13(1,B1)","Unknown2","23.94","19.99","9.92","18.57","7.6","21.1","19.19","26.19","22.56","15.73","27.65","27.17","10.21","8.8","33.05","29.94","18.98","14.43","19.78","23.48","32.09","12.7","24.34","22.37","11.99","21.45","27.5","16.88","1853"
"14(1,B2)","Unknown10","23.61","16.28","8.51","12.43","11.39","16.73","10.56","15.73","28.17","10.77","25.06","18.99","8.56","7.36","25.93","23.45","13.74","12.94","12.11","14.79","48.2","8.99","17.01","18.89","9.52","18.85","13.96","18.34","1694"
"15(1,B3)","Unknown18","22.15","18.09","10.12","13.19","8.06","13.93","14.66","34.44","17.01","11.27","18.76","18.24","8.8","9.99","18.92","16.24","26.37","14.95","15.55","16.65","22.4","9.54","15.29","17.01","11.95","16.35","17.38","15.49","1789"
"16(1,B4)","Unknown26","39.77","22.69","9.27","17.38","8.73","13.81","13.12","21.67","36.69","9.17","28.97","16.34","7.73","7.57","24.33","18.7","18.49","14.2","12.83","17.08","47.14","8.22","15.96","16.98","11.68","19.13","16.42","39.64","1890"
"17(1,B5)","Unknown34","10.02","16.21","8.73","15","10.59","13.34","14.05","11.43","17.67","7.52","33.98","19.37","7.31","9.26","26.11","15.11","25.78","12.08","9.61","12.05","42.5","10.57","12.38","10.9","8.51","15.45","17.91","11.96","1739"
"18(1,B6)","Unknown42","18.01","13.83","12.03","14.64","9.65","13.01","10.7","15.5","17.14","8.31","26.38","20.62","8.76","13.57","20.31","22.66","28.66","13.05","15.9","9.09","55.96","8.63","25.43","15.06","7.63","20.13","14.34","19.4","1818"
"25(1,C1)","Unknown3","18","19.93","8.12","17.72","9.33","13.16","13.11","23.51","15.86","8.9","14.4","12.4","8.85","9.63","19.92","17.15","19.84","12.51","16.98","15.38","41.29","13.11","15.39","13.68","12.22","23.59","16.13","13.98","1779"
"26(1,C2)","Unknown11","13.24","15.38","9.81","14.48","8.7","12.36","10.78","10.85","25.34","9.13","19.56","11.19","8.4","9.07","21.12","15.86","12.2","10.5","12.55","19.04","44.21","6.53","14.51","19.34","10.53","22.36","17.76","15.63","1841"
"27(1,C3)","Unknown19","10.97","14.58","9.09","13.43","8.79","16.62","14.44","17.48","16.78","8.84","20.22","16.1","8.9","10.09","24.18","12.08","17.03","15.61","13.68","9.24","32.09","8.96","15.54","17.24","8.09","20.39","16.97","16.58","1837"
"28(1,C4)","Unknown27","20.74","17.46","9.91","12.61","11.08","15.81","12.05","19.07","20.34","9.12","12.43","9.66","7.81","8.15","10.4","9.39","19.98","12.09","10.56","6.61","57.06","7.29","11.91","8.98","7.55","17.65","14.73","8.71","1830"
"29(1,C5)","Unknown35","20.04","19.28","8.52","15.87","13.04","14.42","14.4","11.96","28.94","9.5","17.36","17.22","9.77","11.76","23.22","20.08","21.75","17.62","13.45","11.06","51.75","13.83","17.23","13.59","7.07","20.65","13.02","36.62","1711"
"30(1,C6)","Unknown43","39.34","20.59","10.83","19.33","9.31","13.1","10.62","18.07","23.19","11.34","32.37","22.35","9.37","13.36","21.18","19.66","21.18","11.34","8.61","14.09","31.12","8.47","15.78","17.37","8.44","17.98","19.61","23.4","1819"
"37(1,D1)","Unknown4","35.21","17.14","7.83","13.45","7.99","13.45","11.24","14.1","16.94","9.35","28.23","13.58","7.56","9.35","13.85","15.55","13.61","13.1","12.98","9.04","46.73","8.94","21.06","14.57","6.33","17.2","13.68","24.8","1689"
"38(1,D2)","Unknown12","9.36","23.19","10.5","10.31","10.65","13.22","12.71","41.01","16.17","7.61","16.44","19.73","8.84","9.75","11.75","10.14","22.31","20.33","12.46","7.63","43.47","8.47","17.07","8.75","7.46","21.63","14.18","26.09","1924"
"39(1,D3)","Unknown20","12.97","12.24","7.91","12.48","8.64","12.4","12.19","12.58","31.4","9.04","15.41","11.89","8.48","10.8","19.33","17.14","12.19","12.74","12.19","19.85","30.85","7.41","11.67","14.48","9.02","28.23","13.47","15.75","1684"
"40(1,D4)","Unknown28","13.59","13.93","14.41","17.15","8.36","17.1","13.3","16.84","21.1","10.63","28.3","17.31","8.75","9.11","18.55","17.13","17.08","13.33","14.87","16.31","36.29","10.71","10.28","13.38","8.39","19.5","15.87","15.24","1782"
"41(1,D5)","Unknown36","17.87","14.65","10.8","15.89","12.9","15.23","12.57","14.19","16.16","10.12","13.17","10.81","6.58","7.89","12.05","8.53","21.18","11.65","14.01","8.4","37.44","10.55","14.29","12.05","8.31","15.47","13.04","14","1835"
"49(1,E1)","Unknown5","19.55","18.37","8.41","11.65","7.12","14.27","10.25","18.54","17.84","9.11","25.08","17.66","9.21","9.04","18.59","18.44","16.71","13.4","13.05","13.88","39.55","6.95","13.85","22.06","14.1","17.29","19.92","15.67","1547"
"50(1,E2)","Unknown13","26.89","17.34","8.04","11.99","8.21","13.88","10.19","16.15","18.9","10.32","24.27","17.91","11.37","9.15","18.99","17.64","20.2","15.39","11.57","18.58","50.79","7.78","18.18","45.48","12.52","21.88","14.35","18.94","1637"
"51(1,E3)","Unknown21","22.26","14.36","9.23","12.58","10.36","12.46","10.94","15.06","20.86","11.68","29.51","17.18","9.99","8.88","25.81","18.94","22.97","13.28","17.8","14.78","44.99","13.84","13.22","25.39","10.67","20.34","16.95","20.54","1560"
"52(1,E4)","Unknown29","29.57","17.98","10.79","13.28","13.93","15.65","12.3","11.76","20.62","14.52","22.96","18.37","12.75","8.25","14.86","24.45","19.06","12.19","16.06","21.96","40.38","7.85","16.38","20.94","12.82","22.01","17.39","33.44","1429"
"53(1,E5)","Unknown37","17.74","13.67","8.54","10.61","9.35","13.82","11.02","15.45","19.4","11.17","21.89","20.29","8.75","7.87","16.9","21.25","15.56","14.61","16.98","11.64","34.88","8.55","12.57","13.14","7.56","21.81","15.18","12.59","1756"
"61(1,F1)","Unknown6","21.04","15.95","9.76","19.34","8.46","15.24","10.9","21.02","18.35","8.7","33.86","18.65","9.61","10.14","16.8","16.71","27.11","12.44","14.56","12.61","36.4","8.56","16.72","17.88","9.62","21.15","21.47","18.02","1604"
"62(1,F2)","Unknown14","16.31","13.41","8.12","13.5","8.25","15.09","14.11","25.43","17.97","10.86","16.78","13.68","6.7","8.47","13.21","15.58","19.24","14.74","14.56","11.53","37.78","8.55","12.3","11.09","12.68","23.96","11.05","12.47","1913"
"63(1,F3)","Unknown22","16.23","17.65","24.05","13.06","12.31","20.55","13.45","34.21","18.16","10.34","14.24","20.45","17.53","15.19","12.63","10.93","29.68","13.7","12.95","11.2","87.44","10.47","19.06","11.79","18.84","20.55","15.05","15.88","1457"
"64(1,F4)","SP","19.08","13.79","18.51","12.29","15.99","14.45","12.07","17.23","12.41","8.96","13.59","11.87","7.4","11.23","13.74","10.8","20.36","15.89","11.66","17.17","34.87","14.78","10.04","12.14","7.75","16.7","13.09","31.86","1730"
"65(1,F5)","Unknown38","14.75","18.66","10.22","19.4","11.2","15.11","12.01","42.23","23.42","7.52","12.83","13.56","7.2","9.8","10.27","11.29","21.96","10.34","8.76","5.4","28.55","12.2","13.21","9.18","12.06","18.99","9.89","19.25","1622"
"73(1,G1)","Unknown7","39.09","13.19","11.37","19.21","9.59","17.09","14.04","17.55","22.73","11.99","24.42","22.03","13.7","13.86","18.79","21.91","20.54","15.63","16.78","13.03","43.3","14.1","18.95","19.88","15.4","17.19","17.69","34.4","1678"
"74(1,G2)","Unknown15","40.02","22.75","6.57","14.78","8.88","15.08","12.23","15.92","23.28","8.91","24.24","17.92","8.5","11.18","27.73","22.14","14.34","9.88","14.79","20.05","45.85","7.52","12.72","22.2","10.03","17.68","16.35","20.54","1674"
"75(1,G3)","Unknown23","14.11","18.67","8.43","13.03","10.01","13.07","17.9","13.99","21.29","16.09","20.54","16.75","7.67","11.35","16.89","12.37","16.25","11.88","18.63","9.79","32.8","7.68","16.86","9.52","11.67","14.84","15.06","15.74","1582"
"76(1,G4)","FD","13.36","17.45","26.42","16.54","10.03","22.1","11.69","14.83","14.07","8.84","14.62","12.91","10.66","8.05","10.17","7.99","24.66","15","15.55","7.43","35.64","9.8","10.92","8.16","10.3","17.99","12.72","14.44","1648"
"77(1,G5)","Unknown39","20.89","15.66","7.69","14.76","10.66","13.19","14.68","12.56","18.65","8.84","45.13","16.63","8.03","11.3","18.69","19.7","21.02","21.31","15.05","15.81","44.44","13.41","16.74","21.58","11.38","20.22","18.62","16.97","1746"
"85(1,H1)","Unknown8","26.65","20.03","7.96","12.67","11.85","16.8","16.07","20.76","33.16","7.55","29.55","18.7","9.38","9.92","22.28","19.29","24.76","12.81","16.05","12.98","43.48","10.63","21.24","13.12","12.22","17.16","16.22","15.42","1569"
"86(1,H2)","Unknown16","27.97","10.01","8.24","15.22","12.29","16.47","12.14","17.18","25.94","9.21","20.43","19.6","7.64","10.1","17.7","18.42","25.69","13.08","15.21","11.17","41.18","6.16","12.14","24.18","8.45","14.89","16.67","15.84","1789"
"87(1,H3)","Unknown24","14.13","25.19","9.74","14.4","10.26","18.04","14.14","12.91","19.71","10.17","14.44","16.06","10.12","11.6","19.24","15.44","21.01","13.28","11.36","11.94","28.47","12.29","12.86","13.49","13.1","18.92","15.7","14.82","1616"
"88(1,H4)","LG","13.19","26.17","8.93","13.93","7.55","17.6","14.78","16.4","8.15","12.26","7.99","9.35","10.02","11.69","9.59","6.71","42.61","12.86","21.97","5.44","20.78","9.34","10.71","6.37","8.07","14.69","10.4","16.66","1706"
"89(1,H5)","Unknown40","10.66","19.9","7.4","17.95","7.66","16.96","15.3","18.38","20.03","8.02","22.18","22.3","6.76","8.71","17.09","9.57","17.81","10.77","15.82","9.47","35.86","10.04","18.08","9.36","11.68","24.2","19.17","17.72","1714"

"DataType:","Trimmed Peak"
"Location","Sample","Spike_6P_IPP","ME_NA","HKU1_S_IPP","OC43_NP_NA","OC43_S_sino","HKU1_NP_NA","229E_NP_NA","Mumps_NP","RBD_B16171_IPP","NL63_NP_NA","RBD_B16172_IPP","RBD_wuhan_IPP","NL63_S_NA","229E_S_NA","Spike_B16172_IPP","Spike_B117_IPP","Measles_NP_NA","Ade5_NA","NP_IPP","Spike_P1_IPP","Rub_NA","Ade40_NA","RBD_B117_IPP","Spike_B1351_IPP","FluA_NA","RBD_B1351_IPP","RBD_P15_IPP","S2_NA","Total Events"
"1(1,A1)","B","22","19","21","32","20","26","19","32","19","28","28","28","26","25","16","26","18","18","15","28","28","28","19","47","21","23","21","45","1817"
"2(1,A2)","S","14466","1819","6685","5907","13403","3484","1875","1595","5896","2835","4847","8841","1748","4616","11309","13853","1160","18357","13908","12850","5230","5715","1878","12268","6134","1109","2494","2513","1772"
"3(1,A3)","S","8520","1069","4103","2958","9281","2139","1310","741","3479","2430","2614","6164","1064","2634","8164","9293","1068","13870","13940","9242","1476","3357","1027","8276","3927","710","1320","1672","1797"
"4(1,A4)","S","6707","915","2409","2418","7005","1603","1073","581","2609","2047","2223","5023","682","1739","5436","7886","626","12717","10906","7224","2205","2313","767","7268","2310","527","1108","1256","1800"
"5(1,A5)","S","4836","383","1209","1022","3070","709","652","143","1357","1250","985","2216","276","770","2413","3095","279","5479","5417","3079","654","1111","355","3085","1067","255","557","579","1766"
"6(1,A6)","S","1972","225","768","803","2135","433","471","122","804","982","740","1670","192","511","1742","2430","127","4277","4626","2136","798","707","234","2316","677","155","325","373","1794"
"7(1,A7)","S","1204","111","402","313","1254","234","244","100","434","452","325","533","111","254","653","1309","96","2041","1599","1301","209","382","143","1196","312","91","176","216","1957"
"8(1,A8)","S","512","86","192","191","604","132","144","77","227","243","143","383","68","133","436","490","66","1113","943","470","122","226","77","803","162","58","91","116","1848"
"9(1,A9)","S","350","51","116","104","413","73","86","51","126","155","77","169","57","87","244","399","38","713","491","338","145","132","49","432","91","45","45","77","1766"
"10(1,A10)","S","198","36","77","65","198","58","66","36","71","112","66","126","38","43","122","234","31","288","266","176","57","73","36","209","65","32","38","58","1717"
"11(1,A11)","S","122","38","47","41","117","36","47","36","58","74","47","87","36","41","91","110","32","199","175","103","57","63","32","176","49","36","32","55","1821"
"12(1,A12)","S","41","24","28","22","49","22","25","25","32","41","28","38","28","28","36","60","20","71","57","49","28","45","21","71","22","23","19","45","1805"
"13(1,B1)","Unknown2","4267","368","1300","533","6180","290","433","144","1886","623","908","1890","797","2062","1612","2846","337","7235","1668","2516","1805","1603","650","3180","4604","290","704","555","1853"
"14(1,B2)","Unknown10","137","829","1603","2307","4811","675","510","176","103","737","122","184","653","2724","38","74","190","13322","122","137","654","1480","132","207","4630","155","162","112","1694"
"15(1,B3)","Unknown18","3331","907","1596","910","5235","1067","1024","267","1668","1737","2048","2405","652","2215","2967","4448","581","6954","8836","4649","1527","5188","740","4801","4086","740","1157","769","1789"
"16(1,B4)","Unknown26","224","609","2139","4614","5459","1959","553","169","167","1821","226","313","1361","4798","45","65","369","11928","225","58","4433","6158","245","137","4097","300","264","151","1890"
"17(1,B5)","Unknown34","802","595","1885","4268","3075","942","1207","312","312","2713","276","339","1361","1420","121","576","682","15758","339","834","2929","7577","253","871","4611","300","313","236","1739"
